equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
ITA_M13/40,M13/40,tanks,156,tanks,146,10,93
ITA_M14/41,M14/41,tanks,120,tanks,114,6,95
ITA_L6/40,L6/40,tanks,59,tanks,50,9,84
ITA_AB41,AB41,armored_cars,47,armored_cars,42,5,89
ITA_AB40,AB40,armored_cars,5,armored_cars,4,1,80
ITA_FIAT_634N,Fiat 634N,trucks,934,trucks,934,0,100
ITA_FIAT_626,Fiat 626,trucks,644,trucks,644,0,100
ITA_LANCIA_3RO,Lancia 3Ro,trucks,660,trucks,660,0,100
ITA_FIAT_665NM,Fiat 665NM,trucks,310,trucks,310,0,100
ITA_SPA_38R,SPA 38R,trucks,260,trucks,260,0,100
ITA_MOTO_GUZZI_ALCE,Moto Guzzi Alce,motorcycles,420,motorcycles,378,42,90
ITA_BIANCHI_SUPERMIL,Bianchi Supermil,motorcycles,248,motorcycles,220,28,88
ITA_BIANCHI_M35,Bianchi M35,motorcycles,116,motorcycles,102,14,87
ITA_GUZZI_TRIALCE,Guzzi Trialce,motorcycles,66,motorcycles,60,6,90
ITA_ANSALDO_75MM/27_MOD_1911,Ansaldo 75mm/27 Mod 1911,field_artillery,48,field_artillery,48,0,100
ITA_OBICE_DA_100/17_MOD_1914,Obice da 100/17 Mod 1914,field_artillery,36,field_artillery,36,0,100
ITA_ANSALDO_105MM/28_MOD_1913,Ansaldo 105mm/28 Mod 1913,field_artillery,12,field_artillery,12,0,100
ITA_CANNONE_DA_47/32_MOD_1935,Cannone da 47/32 Mod 1935,anti_tank,116,anti_tank,108,8,93
ITA_CANNONE_DA_90/53_MOD_1939,Cannone da 90/53 Mod 1939,anti_aircraft,8,anti_aircraft,8,0,100
ITA_BREDA_20MM/65_MOD_1935,Breda 20mm/65 Mod 1935,anti_aircraft,36,anti_aircraft,33,3,91
