equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
ITA_M13/40,M13/40,tanks,154,tanks,138,16,89
ITA_M14/41,M14/41,tanks,32,tanks,28,4,87
ITA_L6/40,L6/40,tanks,18,tanks,16,2,88
ITA_L3/35,L3/35,tanks,19,tanks,14,5,73
ITA_AB41,AB41,armored_cars,24,armored_cars,21,3,87
ITA_AB40,AB40,armored_cars,14,armored_cars,11,3,78
ITA_FIAT_634N,Fiat 634N,trucks,598,trucks,598,0,100
ITA_FIAT_626,Fiat 626,trucks,412,trucks,412,0,100
ITA_LANCIA_3RO,Lancia 3Ro,trucks,384,trucks,384,0,100
ITA_SPA_38R,SPA 38R,trucks,168,trucks,168,0,100
ITA_BRITISH_CAPTURED,British Captured,trucks,122,trucks,122,0,100
ITA_MOTO_GUZZI_ALCE,Moto Guzzi Alce,motorcycles,268,motorcycles,234,34,87
ITA_BIANCHI_SUPERMIL,Bianchi Supermil,motorcycles,156,motorcycles,138,18,88
ITA_BIANCHI_M35,Bianchi M35,motorcycles,78,motorcycles,68,10,87
ITA_GUZZI_TRIALCE,Guzzi Trialce,motorcycles,46,motorcycles,38,8,82
ITA_ANSALDO_75MM/27_MOD_1911,Ansaldo 75mm/27 Mod 1911,field_artillery,48,field_artillery,48,0,100
ITA_OBICE_DA_100/17_MOD_1914,Obice da 100/17 Mod 1914,field_artillery,18,field_artillery,18,0,100
ITA_CANNONE_DA_47/32_MOD_1935,Cannone da 47/32 Mod 1935,anti_tank,78,anti_tank,72,6,92
ITA_CANNONE_DA_90/53_MOD_1939,Cannone da 90/53 Mod 1939,anti_aircraft,4,anti_aircraft,4,0,100
ITA_BREDA_20MM/65_MOD_1935,Breda 20mm/65 Mod 1935,anti_aircraft,32,anti_aircraft,29,3,90
