equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
AME_M8_GREYHOUND,M8 Greyhound,armored_cars,54,armored_cars,49,5,90
AME_M3_HALF_TRACK,M3 Half-track,halftracks,56,halftracks,52,4,92
AME_M2_HALF_TRACK,M2 Half-track,halftracks,38,halftracks,35,3,92
AME_GMC_CCKW_2.5_TON,GMC CCKW 2.5-ton,trucks,765,trucks,710,55,92
AME_DODGE_WC_SERIES,Dodge WC series,trucks,595,trucks,550,45,92
AME_CHEVROLET_G506,Chevrolet G506,trucks,278,trucks,265,13,95
AME_WILLYS_MB_JEEP,Willys MB Jeep,trucks,154,trucks,148,6,96
AME_HARLEY_DAVIDSON_WLA,Harley-Davidson WLA,motorcycles,92,motorcycles,85,7,92
AME_M2A1_105MM_HOWITZER,M2A1 105mm Howitzer,field_artillery,36,field_artillery,35,1,97
AME_M1918_155MM_HOWITZER,M1918 155mm Howitzer,field_artillery,12,field_artillery,12,0,100
AME_M3_37MM_AT_GUN,M3 37mm AT Gun,anti_tank,57,anti_tank,54,3,94
AME_M1_40MM_BOFORS,M1 40mm Bofors,anti_aircraft,16,anti_aircraft,14,2,87
