equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
ITA_M13/40,M13/40,tanks,82,tanks,68,14,82
ITA_M14/41,M14/41,tanks,80,tanks,72,8,90
ITA_L6/40,L6/40,tanks,36,tanks,25,11,69
ITA_AB41,AB41,armored_cars,34,armored_cars,28,6,82
ITA_AB40,AB40,armored_cars,4,armored_cars,3,1,75
ITA_FIAT_634N,Fiat 634N,trucks,732,trucks,732,0,100
ITA_FIAT_626,Fiat 626,trucks,505,trucks,505,0,100
ITA_LANCIA_3RO,Lancia 3Ro,trucks,515,trucks,515,0,100
ITA_FIAT_665NM,Fiat 665NM,trucks,238,trucks,238,0,100
ITA_MOTO_GUZZI_ALCE,Moto Guzzi Alce,motorcycles,332,motorcycles,298,34,89
ITA_BIANCHI_SUPERMIL,Bianchi Supermil,motorcycles,193,motorcycles,173,20,89
ITA_BIANCHI_M35,Bianchi M35,motorcycles,91,motorcycles,80,11,87
ITA_GUZZI_TRIALCE,Guzzi Trialce,motorcycles,52,motorcycles,47,5,90
ITA_ANSALDO_75MM/27_MOD_1911,Ansaldo 75mm/27 Mod 1911,field_artillery,37,field_artillery,37,0,100
ITA_OBICE_DA_100/17_MOD_1914,Obice da 100/17 Mod 1914,field_artillery,28,field_artillery,28,0,100
ITA_ANSALDO_105MM/28_MOD_1913,Ansaldo 105mm/28 Mod 1913,field_artillery,9,field_artillery,9,0,100
ITA_CANNONE_DA_47/32_MOD_1935,Cannone da 47/32 Mod 1935,anti_tank,90,anti_tank,79,11,87
ITA_CANNONE_DA_90/53_MOD_1939,Cannone da 90/53 Mod 1939,anti_aircraft,7,anti_aircraft,7,0,100
ITA_BREDA_20MM/65_MOD_1935,Breda 20mm/65 Mod 1935,anti_aircraft,28,anti_aircraft,25,3,89
