equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
ITA_AB_40,AB 40,armored_cars,12,armored_cars,9,3,75
ITA_AB_41,AB 41,armored_cars,7,armored_cars,5,2,71
ITA_FIAT_634N,Fiat 634N,trucks,360,trucks,260,100,72
ITA_LANCIA_3RO,Lancia 3Ro,trucks,270,trucks,195,75,72
ITA_SPA_DOVUNQUE_35,SPA Dovunque 35,trucks,185,trucks,135,50,72
ITA_MOTO_GUZZI_ALCE,Moto Guzzi Alce,motorcycles,95,motorcycles,75,20,78
ITA_BIANCHI_SUPERMIL,Bianchi Supermil,motorcycles,40,motorcycles,30,10,75
ITA_75/27_MOD_1906,75/27 Mod 1906,field_artillery,48,field_artillery,44,4,91
ITA_100/17_MOD_1914,100/17 Mod 1914,field_artillery,21,field_artillery,19,2,90
ITA_149/13_MOD_1910,149/13 Mod 1910,field_artillery,21,field_artillery,19,2,90
ITA_47/32_MOD_1935,47/32 Mod 1935,anti_tank,35,anti_tank,31,4,88
ITA_20MM_BREDA_M35,20mm Breda M35,anti_aircraft,13,anti_aircraft,11,2,84
