equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
ITA_AB_40,AB 40,armored_cars,14,armored_cars,13,1,92
ITA_AB_41,AB 41,armored_cars,8,armored_cars,7,1,87
ITA_FIAT_634N,Fiat 634N,trucks,425,trucks,350,75,82
ITA_LANCIA_3RO,Lancia 3Ro,trucks,320,trucks,265,55,82
ITA_SPA_DOVUNQUE_35,SPA Dovunque 35,trucks,215,trucks,170,45,79
ITA_MOTO_GUZZI_ALCE,Moto Guzzi Alce,motorcycles,110,motorcycles,100,10,90
ITA_BIANCHI_SUPERMIL,Bianchi Supermil,motorcycles,50,motorcycles,45,5,90
ITA_75/27_MOD_1906,75/27 Mod 1906,field_artillery,54,field_artillery,51,3,94
ITA_100/17_MOD_1914,100/17 Mod 1914,field_artillery,24,field_artillery,23,1,95
ITA_149/13_MOD_1910,149/13 Mod 1910,field_artillery,24,field_artillery,22,2,91
ITA_47/32_MOD_1935,47/32 Mod 1935,anti_tank,40,anti_tank,38,2,95
ITA_20MM_BREDA_M35,20mm Breda M35,anti_aircraft,14,anti_aircraft,13,1,92
